director_name,mean_imdb_score
Robert Stromberg,7
Robert Townsend,7
Rodrigo CortÃ©s,7
Roger Nygard,7
Ron Maxwell,7
Shane Carruth,7
Stephen Hillenburg,7
Terrence Malick,7
Vadim Perelman,7
Vincent Ward,7
Werner Herzog,7
William Dear,7
Woody Allen,7
Gore Verbinski,6.99
Lasse HallstrÃ¶m,6.99
Curtis Hanson,6.98
Gabriele Muccino,6.98
Gavin O'Connor,6.98
Neil Burger,6.98
Shekhar Kapur,6.97
John Wells,6.95
Randal Kleiser,6.95
Randall Miller,6.95
Rodrigo GarcÃ­a,6.95
Antoine Fuqua,6.94
F. Gary Gray,6.94
Anton Corbijn,6.93
Atom Egoyan,6.93
Craig Gillespie,6.93
George Tillman Jr.,6.93
Michel Gondry,6.93
Mike Judge,6.93
Pete Travis,6.93
Ron Howard,6.93
Sofia Coppola,6.93
Tim Burton,6.93
Adam McKay,6.92
Lana Wachowski,6.92
Paul McGuigan,6.92
Oliver Stone,6.91
Benedikt Erlingsson,6.9
Billy Bob Thornton,6.9
Bonnie Hunt,6.9
Brian Dannelly,6.9
Bruce Beresford,6.9
Byron Howard,6.9
Chris Noonan,6.9
Christine Jeffs,6.9
Claude Miller,6.9
Dagur KÃ¡ri,6.9
Damien O'Donnell,6.9
Dave McKean,6.9
David F. Sandberg,6.9
David Robert Mitchell,6.9
Drew Barrymore,6.9
Franco Zeffirelli,6.9
Genndy Tartakovsky,6.9
Gregor Jordan,6.9
Hal Haberman,6.9
Jean-Paul Rappeneau,6.9
Joe Carnahan,6.9
John Gatins,6.9
Julian Schnabel,6.9
Julie Taymor,6.9
Justin Chadwick,6.9
Kar-Wai Wong,6.9
Kelly Reichardt,6.9
King Vidor,6.9
Lucio Fulci,6.9
Marielle Heller,6.9
Mark Rydell,6.9
Matt Maiellaro,6.9
Michael Schultz,6.9
Mike Mills,6.9
Nigel Cole,6.9
Ol Parker,6.9
Phil Joanou,6.9
Richard E. Grant,6.9
Ronan Chapalain,6.9
Russell Holt,6.9
Sally Potter,6.9
Saul Dibb,6.9
Sherman Alexie,6.9
Steve Buscemi,6.9
Steve Martino,6.9
Zal Batmanglij,6.9
Gavin Hood,6.88
Taylor Hackford,6.88
Chris Wedge,6.87
Glenn Ficarra,6.87
Joseph Kosinski,6.87
Michael Hoffman,6.87
Brad Anderson,6.86
Alan Taylor,6.85
Andrew Dominik,6.85
Gary Trousdale,6.85
Jee-woon Kim,6.85
John Sayles,6.85
Mark Pellington,6.85
Noah Baumbach,6.85
Patricia Riggen,6.85
Peter Hedges,6.85
Peter Lord,6.85
Pierre Morel,6.85
Richard LaGravenese,6.85
Richard Shepard,6.85
Sam Raimi,6.85
Sylvester Stallone,6.85
Justin Lin,6.84
Mike Newell,6.84
Robert Redford,6.84
Scott Hicks,6.84
Carlos Saldanha,6.83
Florian Henckel von Donnersmarck,6.83
James Foley,6.83
John Carpenter,6.83
JosÃ© Padilha,6.83
Nicolas Winding Refn,6.83
Ruben Fleischer,6.83
Alex Proyas,6.82
Adam Rifkin,6.8
Agnieszka Holland,6.8
Alejandro Agresti,6.8
Andrew Currie,6.8
Ash Brannon,6.8
Carlos Carrera,6.8
Catherine Gund,6.8
Dustin Hoffman,6.8
E.L. Katz,6.8
Garth Jennings,6.8
Graham Annable,6.8
Guillaume Canet,6.8
Henry Koster,6.8
Jeremy Leven,6.8
John Dahl,6.8
John H. Lee,6.8
Jonas Ã…kerlund,6.8
Joseph Dorman,6.8
Kief Davidson,6.8
Larry Charles,6.8
Luis Valdez,6.8
Matt Williams,6.8
Menno Meyjes,6.8
Michael Anderson,6.8
Michael Cimino,6.8
Michael Sucsy,6.8
Newt Arnold,6.8
Nick Tomnay,6.8
Pawel Pawlikowski,6.8
Peter R. Hunt,6.8
Peter Sollett,6.8
Peter Stebbings,6.8
R.J. Cutler,6.8
Rob McKittrick,6.8
Robert Altman,6.8
Robert Eggers,6.8
